,Person,Responsibility,imdbID
8273,Sang-soo Hong,screenplay,tt1989712
8274,Margaret Park Bridges,short story,tt0368844
8275,Tito Carpi,story and screenplay,tt0073315
8276,Enzo G. Castellari,screenplay,tt0073315
8277,Yasuo Hasegawa,screenplay,tt0907648
8278,Maiko Seo,novel,tt0907648
8279,Judy Tenuta,creator,tt3321378
8280,Larry Riley,story,tt0151821
8281,Joe Stultz,story,tt0151821
8282,Fergus Hume,novel,tt0008030
8283,William Moulton Marston,characters,tt7514094
8284,Chris R. Notarile,script,tt7514094
8285,Harry G. Peter,characters,tt7514094
8286,Jacques Berland,adaptation,tt0045617
8287,Peter Cheyney,novel,tt0045617
8288,Marcel Duhamel,dialogue,tt0045617
8289,Arthur L. Jarrett,screenplay,tt0326883
8290,Marcy Klauber,screenplay,tt0326883
8291,Joseph Marconi,story,tt2092422
8292,Andy Rath,story,tt2092422
8293,Olive Hatch,adaptation,tt0228478
8294,Glen Lambert,adaptation,tt0228478
8295,Mack Sennett,story,tt0228478
8296,Al Tyler,dialogue,tt0228478
8297,Murray Roth,story,tt0028246
8298,Ben Ryan,"story ""Blonde Dynamite""",tt0028246
8299,Dana Marisa Schoenfeld,screenwriter,tt2676894
8300,Anna Leonowens,diaries,tt0166485
8301,Steve Meerson,screenplay,tt0166485
8302,Peter Krikes,screenplay,tt0166485
8303,Maurice Maeterlinck,play,tt0074225
8304,Hugh Whitemore,screenplay,tt0074225
8305,Alfred Hayes,screenplay,tt0074225
8306,Stephen Fry,additional writing by,tt0765446
8307,David Javerbaum,additional writing by,tt0765446
8308,Dan Mazer,additional writing by,tt0765446
8309,Tony Leech,based on a story by,tt0765446
8310,Cory Edwards,based on a story by,tt0765446
8311,Charles Novia,screenplay,tt1129992
8312,Charles Novia,story,tt1129992
8313,Richard Harding Davis,story,tt0001690
8314,Jaroslav Hasek,play,tt0338752
8315,Brian Barry,characters,tt2099571
8316,Mindret Lord,screenplay,tt0038986
8317,Anne Wigton,story,tt0038986
8318,Lewis Herman,story,tt0038986
8319,Andrew Huggins,story,tt2936970
8320,Carlos Lascano,story,tt2072034
8321,Jerry Bryant,story,tt3783510
8322,Cory Tynan,story,tt3783510
8323,Jared Morgan,story,tt1884296
8324,O.B. Pangilinan,story,tt1996331
8325,Nilo Saez,story,tt1996331
8326,Victoria Baker,story,tt2621400
8327,Petra Lottje,story,tt3755472
8328,Patrick L. Mannock,story,tt3422046
8329,Frank Miller,story,tt3422046
8330,Josh Rimmey,story,tt3104732
8331,Zach Williams,story,tt3104732
8332,Walter Williams,creator,tt0477715
8333,Manuel Sanchez,story,tt0223284
8334,Jake Thomas Armbruster,screenplay,tt5037296
8335,Omar Saavedra,screenplay,tt5037296
8336,Omar Saavedra,story,tt5037296
8337,Soo-ah Kim,screenplay,tt1232108
8338,Hyun-hee Sohn,screenplay,tt1232108
8339,Joshua Courtade,characters,tt2058625
8340,Diane Kowalski,characters,tt2058625
8341,Matthew W. Allen,screenplay,tt3861950
8342,Jeff Benjamin,story,tt0087011
8343,Ruskin Bond,based on a novella by,tt0457802
8344,Minty Kunwar Tejpal,screenplay,tt0457802
8345,Abhishek Chaubey,screenplay,tt0457802
8346,Vishal Bhardwaj,screenplay,tt0457802
8347,Vishal Bhardwaj,dialogue,tt0457802
8348,Gianni Romoli,screenplay,tt0108745
8349,Gianni Romoli,story,tt0108745
8350,Dalila Lutz,story,tt4612888
8351,Albert Ray,adaptation,tt0014083
8352,James Whitcomb Riley,poem,tt0014083
8353,Edward Withers,titles,tt0014083
8354,Mariette Désert,collaboration,tt1646985
8355,Paul Freedman,story,tt0094187
8356,Gary Walkow,story,tt0094187
8357,Isabel Allende,author,tt1429101
8358,Alice Elliott Dark,excerpts from Betty's book,tt0277322
8359,Tommy Sledge,character material,tt0097768
8360,Marneen Fields,creator,tt3543416
8361,Helga Koppel,concept,tt0180797
8362,Robert Neumann,concept,tt0180797
8363,Jean Aurenche,scenario & dialogue,tt0044025
8364,Claude Autant-Lara,scenario & dialogue,tt0044025
8365,Jules-Amédée Barbey d'Aurevilly,story,tt0044025
8366,Hervé Bazin,"story ""Acte de probité""",tt0044025
8367,Pierre Bost,scenario & dialogue,tt0044025
8368,Colette,"short story ""La chatte""",tt0044025
8369,Diego Fabbri,scenario,tt0044025
8370,Liana Ferri,scenario,tt0044025
8371,Léo Joannon,idea,tt0044025
8372,Antonio Pietrangeli,scenario,tt0044025
8373,Carlo Rim,scenario & dialogue,tt0044025
8374,Roberto Rossellini,scenario,tt0044025
8375,Charles Spaak,scenario,tt0044025
8376,Turi Vasile,scenario,tt0044025
8377,René Wheeler,adaptation,tt0044025
8378,Craig Hutchinson,story,tt0323878
8379,Asher Lerner,commentary,tt1062925
8380,Lynn Root,screen play,tt0038680
8381,Frank Fenton,screen play,tt0038680
8382,Herbert Clyde Lewis,story,tt0038680
8383,Michael Greene,story,tt3203312
8384,Cliff Gordon,book,tt4391474
8385,Anders Thomas Jensen,screenplay,tt0180748
8386,Roald Dahl,novel,tt0399655
8387,Peter Ling,adapted for television by,tt4771700
8388,May A. Brown,story,tt0247397
8389,Gregory Ruzzin,screenwriter,tt0112540
8390,Sabine Leipert,screenplay,tt1307058
8391,Julia Neumann,screenplay,tt1307058
8392,Rafael Moreno Alba,screenplay,tt0067417
8393,Rafael Moreno Alba,story,tt0067417
8394,Mark Baranowski,story and screenplay,tt0473212
8395,Ryli Morgan,additional material,tt0473212
8396,James M. Mallon,screenplay,tt3330852
8397,James M. Mallon,story,tt3330852
8398,Jeff Piccinini,screenplay,tt3330852
8399,Christian Fechner,scenario,tt0072722
8400,Yvan Chiffre,scenario,tt0072722
8401,Stephanie Cooper,screenplay,tt2354511
8402,Damir Catic,story,tt3316790
8403,Steve Higgins,new material,tt0435730
8404,Michael Shoemaker,new material,tt0435730
8405,Geoff McLeod,story editor,tt5170042
8406,Joseph Pilizotto,screen-play by,tt5170042
8407,Tedd Pierce,story,tt0052692
8408,Tom Gallon,novel,tt0338392
8409,Tom Mix,story,tt0012636
8410,Edward Sedgwick,screenplay,tt0012636
8411,Edward Sedgwick,story,tt0012636
8412,Ralph Spence,titles,tt0012636
8413,Sascha Arango,screenplay,tt2081266
8414,Mark Twain,novel,tt2081266
8415,Earl Derr Biggers,novel,tt0021351
8416,Charles Kingsley,novel,tt1226333
8417,Langford Reed,scenario,tt1226333
8418,Enzo Battaglia,screenplay,tt0062135
8419,Enzo Battaglia,story,tt0062135
8420,Oliver Drake,original story and screenplay,tt0033688
8421,Andrew Bergman,story,tt5043260
8422,Clinton Butler,story,tt5043260
8423,Jake Witterschein,story,tt5043260
8424,Grace Wang,story,tt3794150
8425,J. Fred Sanford,story,tt0182390
8426,Michael Masucci,contributing screenwriter,tt0367187
8427,Anthony Peraticos,contributing screenwriter,tt0367187
8428,Mary B. Woodard,screenplay,tt0367187
8429,John D. Fitzgerald,novel,tt0077632
8430,Philip MacDonald,novel,tt0020108
8431,Yo Umezaki,story,tt2985750
8432,Wolf Morrison,story,tt3490644
8433,Harvey F. Thew,screen play,tt0025039
8434,Joseph Sherman,screen play,tt0025039
8435,Ralph Spence,screen play,tt0025039
8436,Cortland Fitzsimmons,from the book by,tt0025039
8437,Viktor Kubal,screenplay,tt1485734
8438,Viktor Kubal,story,tt1485734
8439,Frederick J. Jackson,screen play,tt0036391
8440,Ted Koehler,screen play,tt0036391
8441,H.S. Kraft,adaptation,tt0036391
8442,Jerry Horwin,from an original story by,tt0036391
8443,Seymour B. Robinson,from an original story by,tt0036391
8444,Andrej Landin,story,tt2966718
8445,Yoshito Usui,characters,tt0406672
8446,Trevor Cherry,story,tt1774618
8447,Ryan Scott Wick,adaptation,tt5773292
8448,Travis Mills,adaptation,tt3436068
8449,Frank Norris,original story,tt3436068
8450,Fyodor Dostoevsky,novel,tt0042351
8451,Paulino Masip,screenplay,tt0042351
8452,Lenny Mesi,story by,tt3752610
8453,Nicole Rayburn,story,tt3752610
8454,Bahman Babazadeh,thanks,tt3820326
8455,Mehdi Zaribaf,original idea,tt3820326
8456,Cindy Tang,screenwriter,tt1934335
8457,Jo Jespers,scenario,tt0487340
8458,S. Pleuris,script,tt0487340
8459,C.S. Montayne,story,tt0013517
8460,James Garrard,play,tt0097075
8461,Oxide Chun Pang,screenplay,tt1382654
8462,Jirí Just,screenplay,tt0089362
8463,Karel Zídek,novel,tt0089362
8464,J.G. Hawks,story,tt0192441
8465,Catalina Ausin,story,tt1828205
8466,Miriam Harris,story,tt1828205
8467,Jonathan Martofel,story,tt1828205
8468,Katsuya Susaki,screenplay,tt0202271
8469,Katelyn Bianchini,story,tt2354850
8470,Kevin W. Shively,screenplay,tt2354850
8471,C. Duke Marsh,creator,tt1686323
8472,Ennio De Concini,screenplay,tt0085366
8473,Roberto Faenza,screenplay,tt0085366
8474,Hugh Fleetwood,novel,tt0085366
8475,Hugh Fleetwood,screenplay,tt0085366
8476,Ramiro Cazaux,story,tt4616314
8477,Paul Urkijo Alijo,story,tt2505630
8478,W. Somerset Maugham,play,tt4736192
8479,Michael Maltese,story,tt0046549
8480,Jerry Wald,screen play,tt0027041
8481,Julius J. Epstein,screen play,tt0027041
8482,Pat C. Flick,additional dialogue,tt0027041
8483,Mildred Cram,story,tt0027041
8484,Barry Cowling,commentary,tt0236268
8485,Lynn Isenberg,screenplay,tt0131560
8486,James Avalon,screenplay,tt0131560
8487,Tony Markes,story,tt0101448
8488,Diana Levitt,story,tt0101448
8489,K.D. Romer,story,tt3164746
8490,Roger Rueff,adaptation,tt4162402
8491,John D. MacDonald,book,tt0437151
8492,Kario Salem,screenplay,tt0437151
8493,Scott Frank,screenplay,tt0437151
8494,John D. MacDonald,characters,tt0437151
8495,Dana Stevens,screenplay,tt0437151
8496,Dennis Lehane,screenplay,tt0437151
8497,Craig Bolotin,story,tt0087810
8498,Craig Bolotin,screenplay,tt0087810
8499,Terence Mulcahy,screenplay,tt0087810
8500,Raymond L. Schrock,story,tt0005737
8501,Roy Williams,story,tt0042849
8502,Piers Paul Read,book,tt0106246
8503,John Patrick Shanley,screenplay,tt0106246
8504,John Greenleaf Whittier,poem,tt0145839
8505,Giannis V. Ioannidis,adaptation,tt0136269
8506,William Shakespeare,play,tt0136269
8507,Ben F. Wilson,scenario,tt0826124
8508,Robert Louis Stevenson,novel,tt0067002
8509,Fay Weldon,book,tt0105168
8510,Edmond Stevens,teleplay,tt0105168
8511,Tarubi,original idea,tt3889166
8512,A. Dorian Otvos,story,tt0874332
8513,George J. Bennett,story,tt0874332
8514,Cory Udler,screenplay,tt1599317
8515,Cory Udler,story,tt1599317
8516,John Campbell,screenplay,tt4244226
8517,Ryan Erlandsen,original story,tt4244226
8518,Derek Garrison,screenplay,tt4244226
8519,Amanda Cathryn Goff,original story,tt4244226
8520,Jeffrey Hatcher,play,tt0368658
8521,Jeffrey Hatcher,screenplay,tt0368658
8522,Gill Sedlácková,screenplay,tt0282852
8523,Sachin Bhowmick,screenplay,tt0116748
8524,Sachin Bhowmick,story,tt0116748
8525,Ravi Kapoor,screenplay,tt0116748
8526,Ravi Kapoor,story,tt0116748
8527,Sagar Sarhadi,dialogue,tt0116748
8528,Sidney Drew,scenario,tt0154592
8529,Osaretin Omorodion,story,tt3062512
8530,Austin Small,novel,tt0156487
8531,Rudolph Dirks,comic strip,tt0236382
8532,Graham Greene,story,tt2639330
8533,William Shakespeare,play,tt0339387
8534,Dolf Verspoor,translator,tt0339387
8535,Justin Dossetti,original story,tt0161841
8536,Rudolph Dirks,comic strip The Katzenjammer Kids,tt0364987
8537,Bryan Colvin,story,tt5756226
8538,Lawrence Riley,play,tt0027684
8539,Mae West,screenplay,tt0027684
8540,Leighton Brill,adaptation,tt0038099
8541,Michael Foster,story,tt0038099
8542,Jakuchô Setouchi,novel,tt2222458
8543,Takashi Ujita,screenplay,tt2222458
8544,Michel Audiard,scenario and dialogue,tt0158765
8545,Bibeth Orteza,story & screenplay,tt1320341
8546,Tim Kasher,additional writing,tt1151916
8547,L.C. MacBean,story,tt2127282
8548,George Pearson,story,tt2127282
8549,Lawrence Hazard,story,tt0034647
8550,John H. Kafka,story,tt0034647
8551,Lynn Riggs,screenplay,tt0034647
8552,John Meehan Jr.,screenplay,tt0034647
8553,Samuel W. Taylor,novel,tt0121515
8554,Samuel W. Taylor,screenplay,tt0121515
8555,Jie Zhang,story,tt0390054
8556,Hettie Grey Baker,scenario,tt0004515
8557,Tom Mix,scenario,tt0004515
8558,Henry Ephron,play,tt0037371
8559,Phoebe Ephron,play,tt0037371
8560,Mel Ellis,novel,tt0080131
8561,Jin A Yoon,story,tt2157656
8562,Lukas DiSparrow,creator,tt3669406
8563,Taly Vasilyev,creator,tt3669406
8564,Ellory Elkayem,story,tt0271367
8565,Randy Kornfield,story,tt0271367
8566,Jesse Alexander,screenplay,tt0271367
8567,Ellory Elkayem,screenplay,tt0271367
8568,Ambrose Bierce,story,tt1078578
8569,Lynn Starling,original story and screenplay,tt0032843
8570,William Beauchamp,creator,tt2034797
8571,Shôtarô Ishinomori,manga,tt2498010
8572,Shozo Uehara,screenplay,tt2498010
8573,Dorianne Emmerton,screenplay,tt0387470
8574,Di Sheldon,additional material,tt2255300
8575,Jacques Jaccard,story,tt0245358
8576,Marie Walcamp,story,tt0245358
8577,George Hively,scenario,tt0245358
8578,Rajiv Chilaka,original idea,tt2798620
8579,Mark S. Simpson,story,tt0097528
8580,Jose Altonaga,story,tt0097528
8581,Jose Altonaga,screenplay,tt0097528
8582,Clemence Dane,play,tt5004538
8583,Gabriel Gort,story and adaptation,tt0144415
8584,Gaston Hakim,story and adaptation,tt0144415
8585,Harrison Jacobs,screenplay,tt0013903
8586,Harrison Jacobs,story,tt0013903
8587,David A. Simons,story,tt0183415
8588,Dalene Young,teleplay,tt0183415
8589,Anthony Forrest,story,tt1575552
8590,Patrick V. Johnson,screenplay,tt0238318
8591,Mortimer Braus,story,tt0030867
8592,Lee Loeb,story,tt0030867
8593,Henri de Régnier,short story,tt0021662
8594,Henrik Ibsen,play,tt0029738
8595,Jan Guillou,novel,tt0338309
8596,Sarita Mehra,concept,tt2115404
8597,August Strindberg,play,tt0282506
8598,David Foss Ricci,screenplay,tt1582379
8599,Lucio Pellegrini,screenplay,tt2322683
8600,Massimo Gaudioso,screenplay,tt2322683
8601,Nick Hornby,novel,tt2322683
8602,Jamie Zeppa,story,tt0201522
8603,Jacob Postmus,story,tt1684582
8604,Brian Turner,story,tt1684582
8605,Hsiao-hsien Hou,screenplay,tt0314785
8606,Will De Los Santos,screenplay,tt6984730
8607,Ryan Leone,novel,tt6984730
8608,Fred Andreas,novel,tt0029525
8609,Fred Andreas,screenplay,tt0029525
8610,Joseph Dalman,screenplay,tt0029525
8611,Victoria Thomas,additional material,tt3553872
8612,Debra Hill,characters,tt0120694
8613,John Carpenter,characters,tt0120694
8614,Robert Zappia,story,tt0120694
8615,Robert Zappia,screenplay,tt0120694
8616,Matt Greenberg,screenplay,tt0120694
8617,Nicole Ellsworth,story,tt2330989
8618,Tyler Holtman,story,tt2330989
8619,Ethel Donoher,story,tt0013471
8620,Ben Travers,play,tt4683974
8621,Leilani Smith,creator,tt3865248
8622,Orson Scott Card,screenplay,tt0956144
8623,J.J. Ruscella,story,tt0466867
8624,Väinö Linna,novel,tt0063731
8625,Väinö Linna,screenplay,tt0063731
8626,Kenneth Anderson,story,tt4954764
8627,Dan Beck,concept,tt1372268
8628,Cash Markman,developer,tt1372268
8629,Carl Erickson,screen play,tt0025076
8630,Manuel Seff,screen play,tt0025076
8631,David Boehm,adaptation,tt0025076
8632,Carl Erickson,adaptation,tt0025076
8633,Thompson Buchanan,from play by,tt0025076
8634,A.E.W. Mason,novel,tt0005353
8635,Soseki Natsume,novel,tt0203630
8636,Tedd Pierce,story,tt0148441
8637,Jack Broome,script,tt1731189
8638,Edward James,"story ""Afraid to Talk""",tt0031001
8639,Ben Grauman Kohn,screenplay,tt0031001
8640,Charles Grayson,screenplay,tt0031001
8641,Pierre-Jean Rémy,screenplay,tt0072873
8642,Marcos Arias,screenplay,tt4841478
8643,Jim Henaghan,screenplay,tt0061559
8644,Jim Henaghan,story,tt0061559
8645,Aurelio López Monis,screenplay,tt0061559
8646,Aurelio López Monis,story,tt0061559
8647,Riad Nassar,story,tt3698136
8648,Vilsoni Hereniko,story,tt5711706
8649,Jess L. Banguis,screenplay,tt1172177
8650,Manuel Conde,screenplay,tt1172177
8651,David Shiner,show,tt1368508
8652,Carroll Moore,story,tt3559118
8653,Bernie Kay,script writer,tt1211636
8654,Sydney Boehm,screenplay,tt0042771
8655,Richard Brooks,screenplay,tt0042771
8656,Leonard Spigelgass,story,tt0042771
8657,Dwight Taylor,screen play,tt0024170
8658,John Van Druten,play,tt0024170
8659,Tom Mankiewicz,screenplay,tt0063662
8660,William Murray,novel,tt0063662
8661,Alan James,story,tt0014454
8662,Alan James,scenario,tt0014454
8663,Philip Yordan,screenplay,tt0043482
8664,Sidney Harmon,screenplay,tt0043482
8665,Hollister Noble,story,tt0043482
8666,Henry K. Chambers,play,tt0007637
8667,Jacques Audiard,scenario,tt0093769
8668,Alain Le Henry,scenario,tt0093769
8669,Edouard Niermans,scenario,tt0093769
8670,Didier Haudepin,scenario collaborator,tt0093769
8671,Alain Le Henry,dialogue,tt0093769
8672,Jacques Audiard,dialogue,tt0093769
8673,Monica Jay,novel,tt0104576
8674,Terry Louise Fisher,teleplay,tt0086430
8675,Steve Brown,teleplay,tt0086430
8676,Barbara Avedon,story,tt0086430
8677,Barbara Corday,story,tt0086430
8678,Barney Rosenzweig,story,tt0086430
8679,Clifford Hoelscher,characters,tt0086430
8680,Jean Hoelscher,characters,tt0086430
8681,Nelson Greaves,story,tt1980195
8682,Maxwell Newman-Plotnick,story,tt1980195
8683,James Smith,story,tt1980195
8684,Robert James,story,tt5239360
8685,Mathew Sullivan,story,tt3059312
8686,George H. Plympton,original screenplay,tt0031764
8687,Basil Dickey,original screenplay,tt0031764
8688,Edmond Kelso,original screenplay,tt0031764
8689,W.W. Watson,original screenplay,tt0031764
8690,Diana Amsterdam,script consultant,tt5528850
8691,Edward P. Smaney,story,tt0186313
8692,A. Van Buren Powell,scenario,tt0186313
8693,Joey Jameson,story,tt2316385
8694,Anurag Kashyap,dialogue,tt0240200
8695,John Parmelee Jordan,story,tt0418093
8696,Marie Jamora,screenplay,tt0418093
8697,Roy Tolentino,screenplay,tt0418093
8698,Kevin Campbell,segment,tt0219483
8699,Krzysztof Miklaszewski,commentary,tt1825210
8700,Kaoru Tada,manga,tt5336230
8701,Minoru Mizoguchi,screenplay,tt5336230
8702,Wilson Ebiye,adaptation,tt0461966
8703,Andrea Cedrola,story,tt3177504
8704,Stefano Grasso,story,tt3177504
8705,Sebastiano Riso,story,tt3177504
8706,Davide Cordova,story,tt3177504
8707,Ryan J-W Smith,story,tt1908459
8708,Hannah Bailey,story,tt2009525
8709,Christopher Ozoemena,story,tt0989074
8710,Jesse Wooton,story,tt1835910
8711,Charles Major,novel,tt0014854
8712,Waldemar Young,adaptation,tt0014854
8713,Kenji Nakagami,novel,tt0217038
8714,Jeremiasz Filipiak,story,tt4082598
8715,Taylor Carter,dialogue,tt2869800
8716,Ethan Jasperson,characters,tt2869800
8717,Gianluca De Serio,screenplay,tt1552717
8718,Massimiliano De Serio,screenplay,tt1552717
8719,Michela Farò,screenplay,tt1552717
8720,Asako Fukai,screenplay,tt3362090
8721,Howard Koch,screenplay,tt0034890
8722,Ellen Glasgow,novel,tt0034890
8723,Soren Sorensen,story,tt3730478
8724,Frank Driscoll,script,tt1732117
8725,Michael Ingrams,script,tt1733175
8726,Randall Frakes,screenplay,tt0098216
8727,Donald G. Jackson,story,tt0098216
8728,Chris Lane,scenario,tt0434609
8729,Anjali Kara,concept,tt4940262
8730,Albert Sidney Fleischman,screenplay,tt0047889
8731,Albert Sidney Fleischman,novel,tt0047889
8732,Tim Morgan,story,tt5078482
8733,Raphael Zeno Beck,story,tt1586690
8734,Wendy Wilkins,story,tt5915772
8735,Man-Hee Lee,screenplay,tt4939066
8736,Sean Dulake,english dialogue,tt4939066
8737,Quentin Crisp,autobiography,tt0073438
8738,Philip Mackie,screenplay,tt0073438
8739,Seth Gimlan,screenplay,tt1327605
8740,Gurtej Singh,screenplay,tt1327605
8741,Phillip Lee Duncan,screenplay,tt1777568
8742,Pornchai Hongrattanaporn,story,tt1599338
8743,Songsak Mongkolthong,story,tt1599338
8744,Seree Phongnithi,story,tt1599338
8745,Yuki Kodama,manga,tt6835804
8746,Izumi Takahashi,screenplay,tt6835804
8747,Julia Camp,story,tt1604076
8748,Jason Henrickson,story,tt1604076
8749,Jared Pechacek,story,tt1604076
8750,I.A.L. Diamond,screenplay,tt0043759
8751,Scott Corbett,novel,tt0043759
8752,Kyôtarô Nishimura,based on the novel by,tt2151691
8753,Yoshimi Shinozaki,teleplay,tt2151691
8754,Max Lucado,story,tt1051230
8755,Troy Schmidt,screenplay,tt1051230
8756,Dan Schneider,additional material written by,tt0458313
8757,Savage Steve Holland,additional material written by,tt0458313
8758,Anthony Del Broccolo,additional material written by,tt0458313
8759,Andrew Hill Newman,additional material written by,tt0458313
8760,Matt Oswalt,additional material written by,tt0458313
8761,Ken Pisani,additional material written by,tt0458313
8762,Kevin Kopelow,additional material written by,tt0458313
8763,Heath Seifert,additional material written by,tt0458313
8764,Luke Del Tredici,additional material written by,tt0458313
8765,Jason Gelles,additional material written by,tt0458313
8766,Mike Haukom,additional material written by,tt0458313
8767,Aaron Hilliard,additional material written by,tt0458313
8768,Alex Reid,additional material written by,tt0458313
8769,Wayne Conley,additional material written by,tt0458313
8770,Erica Rothschild,additional material written by,tt0458313
8771,Barry O'Brien,additional material written by,tt0458313
8772,John Hoberg,additional material written by,tt0458313
8773,Steve Freeman,additional material written by,tt0458313
8774,Neal Brennan,additional material written by,tt0458313
8775,Brian Robbins,creator,tt0458313
8776,Michael Tollin,creator,tt0458313
8777,Vanja Cankovic,screenplay,tt3392900
8778,Su-jung Yeo,screenplay,tt0374772
8779,George McManus,cartoon Let George Do It,tt0324504
8780,Jonathan P. Ritter,based on a film by,tt6046882
8781,Katharine Kavanaugh,story,tt0027584
8782,Mor Borensztajn,story,tt2004197
8783,Richard Carr,original story,tt0049472
8784,Richard Carr,screenplay,tt0049472
8785,Roni Geva,story,tt2937420
8786,Katia Gomez,story,tt2937420
8787,Dan Olson,story,tt2937420
8788,Efren R. de Guzman Jr.,screenplay,tt1988796
8789,William Watson,story,tt0328435
8790,Pedro Lopes,story,tt5861220
8791,William Scherer,story,tt2470060
8792,Jacques Champeaux,dialogue,tt0068748
8793,Jules Verne,novel,tt0068748
8794,Georges Clemenceau,play,tt0443285
8795,Edward Corbett,story,tt0175170
8796,Herbert Hall Winslow,story,tt0175170
8797,Prince Joshua Nana Morrison Budukuma,screenplay,tt6028884
8798,Christin Royal Diamond,story coordinator,tt6028884
8799,Christopher Miles,story,tt3639410
8800,Solomon Chertok,original story,tt2625728
8801,Alexander Hankoff,screenplay,tt2625728
8802,Jordan Wachtell,original story,tt2625728
8803,Michael Tobias,book,tt0795992
8804,Suzanne Mercer,screenplay,tt0074094
8805,Stanley A. Long,idea,tt0074094
8806,Masood,dialogue,tt1045627
8807,Masood,story,tt1045627
8808,William Roberts,screenplay,tt0053054
8809,H.E. Bates,novel,tt0053054
8810,Angeline D'Balentine,story,tt1896794
8811,Desiree Vought,story,tt1896794
8812,Eberhard Keindorff,created and written by,tt0064410
8813,Johanna Sibelius,created and written by,tt0064410
8814,Brandon Fisher,story,tt1696479
8815,J. Campbell Bruce,book,tt0079116
8816,Richard Tuggle,screenplay,tt0079116
8817,Alexander de Callier,screenplay,tt0067318
8818,Samuel Newman,screenplay,tt0043694
8819,Samuel Newman,story,tt0043694
8820,Raoul Walsh,screenplay,tt0006441
8821,Raoul Walsh,story,tt0006441
8822,Helena Ignez,screenwriter,tt1702002
8823,Ícaro Martins,screenwriter,tt1702002
8824,William Shakespeare,play,tt0084328
8825,Albert Mannheimer,original screenplay,tt0040875
8826,Frederick Kohner,original screenplay,tt0040875
8827,Sonya Levien,original screenplay,tt0040875
8828,John Meehan,original screenplay,tt0040875
8829,Dale Van Every,screenplay,tt0044012
8830,Oliver H.P. Garrett,screenplay,tt0044012
8831,Roy Huggins,screenplay,tt0044012
8832,Edmund Gilligan,novel,tt0044012
8833,David Icke,research,tt2250650
8834,Salah Abu Oun,story,tt4484348
8835,Alfred M. Loewenthal,titles,tt0019739
8836,Jefferson Moffitt,story,tt0019739
8837,Phil Whitman,story,tt0019739
8838,Brini Amerigo,subject,tt3171784
8839,Marco Palese,subject,tt3171784
8840,Leopold Vincent Medley,story,tt5065888
8841,Jeffrey Schenck,story,tt2334090
8842,Peter Sullivan,story,tt2334090
8843,Peter Sullivan,screenplay,tt2334090
8844,Fred Olen Ray,screenplay,tt2334090
8845,Oniroku Dan,based on the novel by,tt3421616
8846,Takehiko Minato,screenplay,tt3421616
8847,Warren Foster,story,tt0048661
8848,Fred Guiol,screenplay,tt0033221
8849,P.J. Wolfson,screenplay,tt0033221
8850,Rowland Leigh,screenplay,tt0033221
8851,A.J. Cronin,from the novel by,tt0033221
8852,Leo Tolstoy,novel,tt0118623
8853,Bernard Rose,screenplay,tt0118623
8854,Lee Sands,dialogue,tt4726792
8855,Alan Wilson,dialogue,tt4726792
8856,Sidney M. Goldin,scenario,tt0373201
8857,Halfdan Muurholm,screenplay,tt0448438
8858,Akku Kulhari,story,tt2714304
8859,Aidan Haughey,story,tt2034107
8860,Donna Vargas,creator,tt0348315
8861,Andrea Oliva,screenplay,tt0383991
8862,Luca Mazzieri,screenplay,tt0383991
8863,Paolo Croci,screenplay,tt0383991
8864,Luca Mazzieri,story,tt0383991
8865,Nic Young,teleplay,tt0775471
8866,Ivo Marloh,screenplay,tt1385591
8867,Dénes Orosz,screenplay,tt1385591
8868,Róbert Koltai,screenplay,tt1385591
8869,Csaba Pindroch,story,tt1385591
8870,Zoltán Füredi,story,tt1385591
8871,Michael De Avila,story,tt0112600
8872,Basil Francis,screenplay,tt0219325
8873,Ken Hughes,screenplay,tt0219325
8874,Laura Cardona,story,tt5179310
8875,John Paton,story,tt0205069
8876,Justin Heinzer,story,tt4108890
8877,Daphne Du Maurier,"based on short story ""The Breakthrough"" by",tt0110351
8878,Patrick Mel Hayes,creator,tt2094161
8879,Isaac Blade,story,tt3186194
8880,Paula Blade,story,tt3186194
8881,Antonio Saillant,screenplay,tt1525847
8882,Dan Schaefer,story,tt1525847
8883,Paul Gallico,"short story ""The Snow Goose",tt0067767
8884,Paul Gallico,screenplay,tt0067767
8885,John Logan,screenplay,tt0165982
8886,Ruiqing Ma,story,tt2410608
8887,Gabriel Ivan-Orendain-Necochea,story,tt5637868
8888,Andrew Walker,story,tt5637868
8889,Yonel Aris,story,tt5553218
8890,Vincent Bryan,scenario,tt0008548
8891,Misa Yamamura,based on the novel by,tt2006686
8892,Hiroshi Nagano,teleplay,tt2006686
8893,Robert Ellis,screenplay,tt0035982
8894,Helen Logan,screenplay,tt0035982
8895,Richard Macaulay,screenplay,tt0035982
8896,William Shakespeare,play,tt0038309
8897,John C. Brownell,story,tt0145950
8898,G. Marion Burton,story,tt0145950
8899,Paul Perez,titles,tt0145950
8900,Akira Boch,screenplay,tt1440265
8901,Vladimír Körner,novel,tt0230652
8902,Vladimír Körner,screenplay,tt0230652
8903,Nik Tyler,story,tt1704596
8904,Jack Harvey,based on novel,tt0037985
8905,Milton Raison,based on novel,tt0037985
8906,Milton Raison,screenplay,tt0037985
8907,Calder Johnstone,scenario,tt0340730
8908,Richard P. Shelton,story,tt0340730
8909,Jean Anouilh,screenplay,tt0031144
8910,Jean Aurenche,screenplay,tt0031144
